,titulo
4721,solicitações dispensa imd práticas leitura escrita inglês
4723,solicitações realização prova proficiência imd inglês básico
4725,hoje eleição representação discente bcc
4726,seleção monitor pensamento computacional introdução técnicas programação
4727,fundação empresa júnior imd
4729,oportunidades abertas trainee estágio efetivos
4730,representação discente bcc
4732,edital seleção bolsistas petccufrn
4735,projeto portal disciplinas imd
4737,oportunidade estágio logap
4739,seleção bolsista extensão
4740,biblioteca abrir empréstimos agendados sigaa março extraído boletim
4743,bolsa elaboração questões provas online matemática pro ensino básico
4744,solicitações realização prova proficiência imd desenvolvimento sistemas web i
4745,solicitações realização prova proficiência imd praticas leitura ingles
4748,formandos
4785,professor particular geometria euclidiana
4787,º concurso trabalhos iniciação científica ctic csbc
4788,curso informação quântica
4789,pesquisa boas práticas programação
4791,seleção bolsista técnico administrativo
4792,eleição representante discente colegiado bti
4793,tempinho
4798,produção conteúdo remunerada
4799,pesquisa perfil leitores revistas digitais
4800,urgente assinatura estágios ações responsabilidade coordenação
4813,professor
4823,seleção bolsistas petccufrn
4824,alunos bcc bticomputação
4825,votação daal
4828,professor definir
4832,oportunidade emprego
4833,nota processo eleitoral
4834,treinamento petições programação
4835,atividades
4839,oportunidade estágio
4840,atendimentos psicológicos individuais setor pedagógico imd
4841,disciplinas imd dimap
4852,cronograma proficiencia
4855,eleição daal
4856,dim fundamentos matemáticos computação ii t
4861,proficiências
4868,bolsa portal disciplinas imd
4876,disciplina aprendizado máquina imd
4878,processo seletivo projeto extensão gatinhos ufrn
4879,proficiencia itp pleii
4882,vaga estágio autoforce
4883,podcast condições trabalho ti
4884,planos curso
4897,dim tópicos especiais computação xi dim lógicas nãoclássicas
4902,disciplinas oferecidas dimap
